Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,0.7018,0.4901,0.3238,2.4902,0.2297
001,0.7595,0.4639,0.4243,2.1851,0.2564
002,1.1595,0.5596,0.7927,2.4098,0.2571
003,2.5285,1.2539,1.9088,2.9752,0.2439
005,2.4397,1.2373,1.8862,2.7727,0.2671
006,0.9190,0.5367,0.5857,2.5261,0.2686
007,0.6728,0.4666,0.2383,2.6892,0.2742
008,0.6880,0.4837,0.2487,2.5978,0.2843
009,1.1478,0.7664,0.7399,3.2183,0.2684
010,1.2314,0.8270,0.8145,3.0866,0.2915
011,0.8260,0.5696,0.4052,2.6028,0.2687
012,0.6970,0.4214,0.4037,2.3693,0.2730
013,2.0025,0.7854,1.7073,2.7825,0.2603
014,1.3868,0.5198,1.2036,2.6363,0.2551
015,0.7608,0.4058,0.5186,2.3728,0.2765
016,0.6578,0.4887,0.2528,2.4287,0.2705
017,0.9577,0.6966,0.5140,2.6303,0.2619
018,0.8898,0.7514,0.3206,3.0054,0.2999
019,0.8055,0.6272,0.3350,2.7078,0.2636
020,1.6601,0.5248,1.5376,2.7812,0.2614
021,0.7210,0.3915,0.5189,2.6635,0.2606
022,2.1993,0.8601,1.9166,2.6952,0.2645
023,2.1679,0.7558,1.9366,2.6507,0.2502
024,1.4384,0.4935,1.2992,2.6711,0.2861
025,1.1065,0.7538,0.7013,3.6379,0.2991
026,1.7403,1.1482,1.2771,4.7769,0.2591
028,1.2485,0.9408,0.7563,3.3355,0.2715
029,1.8142,1.1167,1.4106,5.0355,0.2815
030,1.6950,1.1135,1.2320,4.0355,0.2092
031,1.1187,1.0483,0.2445,2.9854,0.2900
032,1.2543,0.9244,0.7511,3.7177,0.2167
033,1.4127,0.9246,0.9712,3.4530,0.2314
034,1.1956,0.7713,0.8437,3.8803,0.2431
035,0.8985,0.4581,0.6267,2.3462,0.2356
037,3.1825,1.8401,2.4282,2.9141,0.2569
038,0.7610,0.5015,0.3855,2.5607,0.2650
039,0.5652,0.3686,0.2872,2.4863,0.2659
040,0.7476,0.5282,0.3480,1.9745,0.2447
041,1.2017,0.9543,0.6368,2.1938,0.3315
042,1.7950,1.3173,1.0651,16.8552,1.0413
043,0.7874,0.5069,0.4193,2.5641,0.2294
Averages,1.2669,0.7462,0.8590,3.2366,0.2821
