Collection #,RMS (pix),X err (pix),Y err (pix)
003,7.1978,4.4876,4.0105
009,4.2656,3.0917,2.5131
016,4.4178,3.3200,2.1119
025,5.4371,3.7233,3.0203
028,7.5358,5.5654,4.2797
032,10.0217,7.3182,5.9205
037,6.7596,5.0348,2.6667
038,3.8025,2.1192,1.3823
Averages,6.1797,4.3325,3.2381
