Collection #,RMS (pix),X err (pix),Y err (pix)
003,6.5584,3.2036,3.9259
009,6.7707,5.4216,2.9553
016,11.3005,9.3064,4.3210
025,6.2586,4.3579,3.1404
028,8.1849,6.1858,4.1890
032,12.6736,10.5987,4.8300
038,5.8896,3.7609,2.4101
Averages,8.2338,6.1193,3.6817
