Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,1.6589,1.3066,0.0064
001,1.1571,0.8189,0.0062
002,5.3019,5.5684,0.0062
005,1.5794,2.2716,0.0058
006,1.3787,1.8315,0.0060
007,0.9259,0.9115,0.0063
008,1.1397,1.0433,0.0063
010,1.7738,1.6413,0.0060
011,1.4083,1.0909,0.0058
012,2.2969,2.1533,0.0058
013,2.9509,2.4936,0.0056
014,2.5495,1.7685,0.0055
015,2.6721,2.5076,0.0056
017,1.4390,1.0013,0.0060
018,7.5775,7.6624,0.0062
019,1.9663,1.9353,0.0054
020,18.6025,13.5881,0.0054
021,1.8720,2.1118,0.0046
022,2.8655,2.3725,0.0037
023,2.8906,2.6916,0.0036
024,3.5234,3.0657,0.0036
026,4.4859,2.2024,0.0056
029,4.7435,3.3804,0.0063
030,5.3172,4.2176,0.0062
031,32.5122,41.4288,0.0077
033,4.7309,4.1969,0.0058
034,2.2536,2.8265,0.0053
035,6.7522,5.2209,0.0047
039,5.3541,5.6212,0.0061
040,1.4732,1.8090,0.0061
041,4.1375,3.5647,0.0067
042,6.3203,5.5983,0.0065
043,2.7486,2.0895,0.0061
Averages,4.4957,4.3028,0.0057
