Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
001,1.2405,1.1306,0.0063
002,4.0987,3.5055,0.0063
003,4.1606,2.3687,0.0062
005,3.2220,2.1736,0.0058
006,2.4085,1.5266,0.0060
007,1.7242,1.0688,0.0063
009,2.2179,1.7092,0.0060
011,1.4256,1.3208,0.0058
013,3.2474,2.2029,0.0056
014,2.6709,1.8888,0.0055
015,3.0436,2.4293,0.0057
016,3.3410,2.9218,0.0058
017,1.5046,1.3028,0.0060
018,4.7302,4.2506,0.0059
020,3.9192,2.3955,0.0047
022,2.7428,2.4611,0.0037
023,2.9524,2.5454,0.0036
024,2.8863,2.5959,0.0036
025,1.7853,1.2071,0.0050
026,2.7062,1.3320,0.0055
028,2.5941,1.5915,0.0060
029,2.6620,1.7018,0.0063
030,4.7697,3.5788,0.0062
031,31.6474,41.9771,0.0079
032,6.4195,5.9247,0.0060
033,1.9775,1.7880,0.0056
034,9.9218,6.0001,0.0056
035,2.4833,2.6130,0.0046
037,3.3682,2.0200,0.0059
038,1.7312,1.2418,0.0062
040,2.5444,2.7239,0.0060
042,4.9624,4.0693,0.0064
043,7.1276,6.7425,0.0063
Averages,4.1890,3.7670,0.0057
