Collection #,RMS (pix),X err (pix),Y err (pix)
000,4.9887,3.6694,1.9008
008,2.6561,1.7086,1.1926
010,4.1749,3.3341,1.8024
012,6.6940,5.4526,2.9683
019,4.4332,2.2803,3.2726
021,7.7564,4.1196,4.1396
039,7.5007,5.6364,3.2707
041,6.1200,3.9786,3.0279
Averages,5.5405,3.7725,2.6969
