Collection #,RMS (pix),X err (pix),Y err (pix)
000,1.4092,0.7679,0.8224
008,2.4789,1.3813,1.1495
010,3.0017,1.6969,0.9121
012,3.6752,2.1723,1.1794
019,5.7930,3.8425,3.8732
021,9.0637,6.1982,4.6222
039,8.0001,6.3019,2.9289
041,5.5402,3.8920,2.2627
Averages,4.8703,3.2816,2.2188
