Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,190.0349,45.4886,184.3038,331.3222,10.4823
001,186.7569,51.4080,179.2662,298.0780,10.5177
002,174.5161,45.1704,168.3419,234.4444,10.5223
003,171.2332,48.6661,163.9970,203.1927,10.4135
004,178.0733,49.4412,170.7639,256.4581,10.5034
Averages,180.1229,48.0349,173.3346,264.6991,10.4878
