Collection #,RMS (pix),X err (pix),Y err (pix)
000,1.5794,0.9683,0.7831
008,3.6488,2.1315,1.8026
010,2.9173,1.1112,0.9266
012,3.9709,2.4565,1.3174
019,5.1124,3.3132,3.4643
021,8.9250,6.2281,4.7328
039,7.7003,6.3864,1.9621
041,5.6358,3.8880,1.8400
Averages,4.9362,3.3104,2.1036
