Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
001,1.9616,1.4984,0.0063
002,6.2804,6.3144,0.0063
003,4.4567,2.6600,0.0062
005,3.0450,2.0484,0.0058
006,4.3677,4.0533,0.0061
007,2.0111,1.2992,0.0063
009,3.4242,2.7340,0.0059
011,1.7365,1.3430,0.0058
013,4.1205,2.6580,0.0056
014,3.4242,2.1487,0.0055
015,15.5759,15.6968,0.0063
016,3.5175,3.3543,0.0057
017,4.0674,3.9105,0.0060
018,5.0144,4.7532,0.0059
020,18.0553,13.2861,0.0054
022,3.4650,2.6464,0.0037
023,3.5988,2.8423,0.0036
024,3.6348,2.7152,0.0036
025,1.8812,1.5569,0.0050
026,2.7942,1.5843,0.0055
028,2.1944,1.6273,0.0060
029,2.7837,1.4287,0.0063
030,7.1389,6.0086,0.0066
031,34.4329,44.8319,0.0076
032,7.2848,6.7132,0.0061
033,2.1309,1.8721,0.0056
034,3.7718,2.3590,0.0054
035,4.0855,3.4213,0.0046
037,3.8954,2.5325,0.0059
038,2.7689,1.9646,0.0062
040,3.0765,3.2675,0.0062
042,4.6876,4.2548,0.0064
043,3.6976,3.0947,0.0061
Averages,5.4055,4.9236,0.0057
