Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,1.5314,1.4199,0.3291,6.9905,0.1366
001,1.1705,0.8261,0.4907,6.9178,0.1757
002,1.1950,0.6589,0.6636,7.0400,0.1774
003,1.7408,0.8512,1.1338,6.7904,0.1617
005,1.7929,0.9269,1.1342,6.5891,0.1922
006,1.0225,0.5464,0.6346,6.2871,0.1935
007,0.6609,0.3320,0.4324,5.9202,0.2021
008,0.6561,0.3401,0.4265,6.0188,0.2130
009,0.4868,0.2861,0.2611,5.6246,0.1937
010,0.7300,0.5781,0.2824,6.1030,0.2207
011,0.7984,0.6296,0.2496,6.2379,0.1944
012,1.1602,0.8154,0.4979,6.5620,0.1984
013,1.5606,0.9803,0.8340,6.9848,0.1841
014,1.5712,1.1842,0.6613,7.0918,0.1788
015,1.3972,1.0843,0.5225,6.8049,0.2035
016,1.0673,0.8963,0.3015,6.4913,0.1979
017,0.9007,0.7781,0.2470,6.4423,0.1850
018,1.3464,1.2795,0.1962,6.6151,0.2311
019,1.0756,0.9746,0.2304,6.4305,0.1854
020,2.0522,1.8604,0.6108,7.2736,0.1898
021,1.1320,0.7920,0.5453,6.0999,0.1833
022,1.8962,1.4764,0.8205,6.6648,0.1863
023,1.8213,1.4295,0.7464,6.6992,0.1738
024,2.0431,1.8679,0.5905,6.3967,0.2211
025,0.6907,0.4362,0.2693,5.5320,0.2318
026,0.6999,0.4080,0.5216,5.2732,0.1788
028,1.1037,1.0047,0.3492,6.5179,0.1957
029,0.7932,0.5001,0.5918,5.2716,0.2144
030,0.9296,0.7032,0.5609,5.8727,0.1135
031,2.1592,2.1338,0.2145,8.1966,0.2341
032,1.1295,1.0395,0.3273,5.7946,0.1129
033,0.7246,0.5578,0.3586,5.5168,0.1428
034,0.3065,0.1200,0.2242,4.8805,0.1634
035,1.7271,1.5375,0.5529,7.0017,0.1453
037,2.0900,1.0592,1.3295,6.5528,0.1804
038,0.9125,0.4764,0.5994,6.1640,0.1880
039,0.7019,0.4923,0.2929,6.1118,0.1908
040,1.0882,0.9250,0.3007,6.9718,0.1577
041,1.2905,1.2098,0.3171,8.4347,0.2640
042,1.6683,1.3899,0.7361,24.9830,1.0176
043,0.8711,0.4900,0.4614,6.2618,0.1376
Averages,1.2121,0.9097,0.5085,6.8881,0.2061
