Collection #,RMS (pix),X err (pix),Y err (pix)
000,5.5441,3.8013,2.4552
008,2.9612,1.9604,1.4257
010,3.4317,1.9261,2.3686
012,8.0581,6.6773,3.2373
019,3.3626,2.1792,1.8144
021,8.1115,4.3687,4.0151
039,7.3474,4.6652,4.5104
041,6.1046,3.5839,2.8813
Averages,5.6151,3.6453,2.8385
