Collection #,RMS (pix),X err (pix),Y err (pix)
005,8.7170,4.0118,6.5982
013,2.3542,1.2189,1.3186
014,5.1832,2.5639,2.4219
024,6.2081,3.5542,3.9353
026,6.1249,2.9259,3.0050
031,56.6423,32.0667,35.6016
033,2.6028,2.1386,0.5440
040,9.8540,3.6783,7.5808
Averages,12.2108,6.5198,7.6257
