Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,4.2447,2.3274,0.0065
001,3.3055,2.1231,0.0063
002,2.5792,3.6344,0.0062
003,3.2906,1.5353,0.0061
006,5.6096,5.3943,0.0061
007,2.6931,1.5304,0.0062
008,2.6616,1.4663,0.0063
009,2.2099,1.4989,0.0060
010,3.0093,2.4587,0.0059
011,2.5219,1.6698,0.0059
012,2.7721,3.2257,0.0059
015,12.9675,14.2526,0.0063
016,3.1285,4.0860,0.0059
017,3.3667,2.7714,0.0060
018,4.6533,5.8272,0.0062
019,3.6800,3.0361,0.0055
020,15.7689,14.4460,0.0054
021,2.4609,1.8038,0.0047
022,3.8249,1.8918,0.0037
023,4.5358,2.6580,0.0036
025,2.6160,1.4436,0.0050
028,2.3526,1.6562,0.0060
029,2.9874,2.2654,0.0064
030,2.7781,1.8253,0.0060
032,9.4915,9.7384,0.0065
034,4.3091,4.3137,0.0053
035,6.7649,4.6956,0.0046
037,2.3937,0.9977,0.0058
038,1.9298,0.6589,0.0062
039,3.9485,4.1920,0.0061
041,2.6018,2.0686,0.0066
042,2.9728,2.5936,0.0064
043,5.3449,4.1718,0.0061
Averages,4.2356,3.5836,0.0058
