Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,1.6758,0.7032,1.2400,6.1694,0.4608
001,1.4237,0.7267,0.9452,4.6835,0.4617
002,1.5666,0.9142,0.9789,4.5444,0.4605
003,1.8173,1.2092,0.9760,4.0168,0.4544
005,1.8146,1.1510,1.0037,3.7642,0.4614
006,1.5474,0.8694,0.9948,3.3398,0.4618
007,1.4643,0.7464,0.9599,2.6208,0.4612
008,1.4896,0.7635,0.9810,2.7031,0.4674
009,1.5163,0.5582,1.1980,2.2080,0.4613
010,1.2282,0.5023,0.8973,2.8758,0.4718
011,1.1212,0.5816,0.7585,3.4985,0.4605
012,1.4524,0.7577,0.9641,4.3710,0.4650
013,1.8458,1.2327,0.9261,5.3466,0.4591
014,1.8456,1.1127,1.0180,5.8857,0.4553
015,1.6236,0.7899,1.0701,5.1171,0.4645
016,1.1863,0.5969,0.7889,4.3380,0.4600
017,1.0125,0.5049,0.7104,3.7723,0.4602
018,1.2578,0.5098,0.8879,5.1598,0.4750
019,1.0417,0.5348,0.6898,4.2201,0.4640
020,2.4464,1.4871,1.6079,6.9004,0.4519
021,1.3522,0.7836,0.8363,3.7027,0.4613
022,2.2051,1.3564,1.2481,5.2087,0.4662
023,2.1466,1.4129,1.1511,5.1966,0.4515
024,2.4232,1.3552,1.7544,5.5464,0.4635
025,1.2891,0.5400,0.9369,2.0541,0.4777
026,1.8544,0.4172,1.7406,2.5628,0.4668
028,0.7690,0.4082,0.5144,3.8919,0.4671
029,1.7675,0.3699,1.6722,2.8177,0.4580
030,1.4024,0.3998,1.1909,2.2337,0.4605
031,2.6651,0.9608,2.4061,9.5992,0.4476
032,0.8007,0.4389,0.5304,3.0055,0.4726
033,1.3627,0.4622,1.0773,2.1335,0.4568
034,1.7302,0.5216,1.5592,1.9763,0.4521
035,1.9150,0.8647,1.4732,4.9157,0.4610
037,1.8849,1.2634,0.9355,3.7084,0.4564
038,1.5641,0.8220,1.0343,3.0926,0.4627
039,1.1714,0.6161,0.7911,3.6908,0.4615
040,1.1929,0.5851,0.8043,4.7286,0.4633
041,0.8982,0.4100,0.6015,5.8028,0.5231
042,0.8547,0.3308,0.6155,21.5528,1.0389
043,1.4020,0.7248,0.9673,3.4532,0.4583
Averages,1.5373,0.7633,1.0594,4.5466,0.4772
