Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,1.2164,1.1580,0.2160,4.6947,0.0693
001,0.8351,0.6874,0.2354,4.6176,0.1226
002,0.6881,0.4209,0.3561,4.6112,0.1259
003,0.9370,0.5273,0.5880,4.2428,0.1088
005,0.9518,0.5863,0.5398,4.1293,0.1345
006,0.6077,0.4069,0.3014,4.0228,0.1425
007,0.4694,0.2764,0.2404,3.8257,0.1536
008,0.4600,0.2727,0.2346,3.9272,0.1637
009,0.4807,0.4046,0.1317,3.7248,0.1418
010,0.7169,0.6743,0.1107,4.2593,0.1733
011,0.7291,0.6479,0.1549,4.2388,0.1509
012,0.8204,0.6378,0.2369,4.3304,0.1419
013,0.8679,0.5241,0.5048,4.4449,0.1242
014,0.9384,0.7079,0.3975,4.6189,0.1207
015,0.9945,0.8428,0.2405,4.5411,0.1524
016,0.9037,0.8144,0.1773,4.4249,0.1439
017,0.8524,0.7965,0.1380,4.5150,0.1303
018,1.2215,1.1738,0.1895,4.7657,0.1784
019,0.9803,0.9241,0.1485,4.4954,0.1245
020,1.2436,1.0839,0.4502,4.7995,0.1382
021,0.7836,0.6023,0.2612,3.9419,0.1204
022,1.0598,0.7748,0.5075,4.2438,0.1192
023,1.0191,0.7177,0.4976,4.2865,0.1182
024,1.3002,1.1761,0.4094,4.2240,0.1604
025,0.7263,0.5204,0.1971,3.7211,0.1641
026,0.6022,0.5712,0.1042,3.5936,0.1058
028,1.0477,1.0154,0.1541,4.7848,0.1322
029,0.6911,0.6781,0.0705,3.5927,0.1805
030,0.8357,0.8171,0.1010,4.1763,0.1110
031,1.8215,1.7506,0.4455,5.9327,0.1906
032,1.0874,1.0642,0.1316,4.0620,0.0302
033,0.7049,0.6810,0.0999,3.6581,0.0716
034,0.3780,0.2784,0.1998,2.9981,0.1023
035,1.2507,1.1772,0.2713,4.6008,0.0819
037,1.0951,0.6503,0.6223,4.0573,0.1240
038,0.5634,0.3634,0.2915,3.9538,0.1319
039,0.5397,0.4101,0.1643,4.0254,0.1304
040,0.9198,0.8456,0.1672,4.8326,0.1126
041,1.2233,1.1866,0.2000,6.5687,0.2603
042,1.5864,1.4293,0.4776,23.1088,1.0144
043,0.5824,0.3833,0.2406,3.9941,0.0742
Averages,0.8959,0.7478,0.2733,4.7704,0.1531
