Collection #,RMS (pix),X err (pix),Y err (pix)
001,5.2586,1.9606,3.0305
002,4.0502,1.5588,2.9982
006,2.9413,1.0894,0.7139
011,4.7376,2.6861,2.9299
018,8.8885,7.6577,2.4303
020,6.1902,4.0015,1.8554
042,7.1666,5.3774,3.9955
043,2.2738,1.8299,0.5341
Averages,5.1884,3.2702,2.3110
