Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,1.2320,0.5017,0.0064
003,3.7801,2.3127,0.0062
005,2.7378,1.9084,0.0058
007,1.3177,1.0557,0.0063
008,1.6025,1.2408,0.0063
009,6.0680,5.1600,0.0061
010,2.5821,2.3871,0.0060
012,1.8355,1.5557,0.0058
013,2.9935,2.1440,0.0056
014,2.5028,1.5103,0.0055
015,4.4580,4.1573,0.0057
016,2.2517,2.1348,0.0056
017,1.6496,1.4135,0.0060
019,2.0003,1.5923,0.0054
021,2.0936,1.8877,0.0046
022,2.6721,2.1522,0.0037
023,2.9099,2.2188,0.0036
024,2.9803,2.3228,0.0036
025,2.0482,1.7339,0.0050
026,4.3216,2.7779,0.0055
028,3.4231,2.5074,0.0060
029,4.1263,2.5893,0.0063
030,3.9468,3.2764,0.0062
031,34.8348,45.7311,0.0074
032,6.8185,6.1935,0.0060
033,3.8346,3.5445,0.0058
034,1.5217,2.1003,0.0053
035,4.9550,4.2733,0.0047
037,3.2634,2.3520,0.0059
038,1.4030,1.0310,0.0062
039,4.7862,5.0394,0.0061
040,2.4726,2.2588,0.0061
041,3.3669,2.5428,0.0066
Averages,4.0239,3.8063,0.0057
