Collection #,RMS (pix),X err (pix),Y err (pix)
001,3.3541,1.9897,1.6729
002,16.4118,11.4247,7.6425
006,1.9351,0.8801,1.0494
011,3.1663,1.7673,1.9320
018,7.1294,5.8741,3.1598
020,7.6029,6.4285,2.6766
042,8.2739,5.6583,4.9480
043,3.0454,2.2595,1.7990
Averages,6.3649,4.5353,3.1100
