Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
001,1.8397,1.1751,0.0062
002,11.0376,10.6535,0.0063
003,5.2529,3.7214,0.0061
005,3.8915,2.9530,0.0058
006,6.1139,5.0650,0.0060
007,2.4132,1.7458,0.0063
009,36.2710,29.6516,0.0070
011,1.6863,1.5499,0.0058
013,3.8690,2.5934,0.0056
014,3.1436,1.6486,0.0055
015,2.3684,1.9825,0.0056
016,4.7374,5.1805,0.0058
017,4.4342,4.6227,0.0060
018,9.7057,9.2286,0.0062
020,6.5485,4.6774,0.0047
022,3.3229,1.9415,0.0037
023,3.7964,2.8272,0.0036
024,4.1187,3.4128,0.0035
025,3.0101,2.8799,0.0050
026,3.6874,2.4932,0.0055
028,4.3992,3.9024,0.0060
029,4.8704,4.0477,0.0064
030,4.1669,3.5779,0.0061
031,45.4144,57.7773,0.0068
032,6.6609,6.3635,0.0059
033,2.6386,2.0525,0.0056
034,9.7342,6.4573,0.0055
035,3.0096,4.0282,0.0047
037,5.0777,3.9014,0.0058
038,2.4677,2.1421,0.0062
040,7.8979,8.5053,0.0061
042,5.7844,5.0197,0.0064
043,10.2519,9.7975,0.0063
Averages,7.0795,6.5932,0.0057
