Collection #,RMS (pix),X err (pix),Y err (pix)
000,5.3960,3.5949,2.8182
008,2.8075,2.1012,1.2886
010,4.7964,3.2797,3.0755
012,6.1258,4.5677,3.4804
019,5.7288,3.8370,3.8321
021,6.8153,4.0331,3.4863
039,8.2857,6.4474,3.0526
041,5.6978,3.4341,2.9456
Averages,5.7067,3.9119,2.9974
