Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,1.5811,1.3482,0.5531,6.7359,0.2012
001,1.2613,0.8928,0.4884,6.5531,0.2265
002,1.2798,0.8088,0.6770,6.5380,0.2295
003,1.6991,0.9657,1.0351,6.1673,0.2243
005,1.6943,1.0418,0.9521,6.0752,0.2363
006,1.2339,0.8081,0.6284,5.9913,0.2402
007,1.1066,0.5661,0.7255,5.8336,0.2488
008,1.1031,0.5573,0.7307,5.9375,0.2521
009,0.9781,0.4864,0.7275,5.7302,0.2403
010,0.9771,0.6692,0.4836,6.1516,0.2563
011,1.0318,0.7231,0.4290,6.1627,0.2463
012,1.2652,0.8943,0.5101,6.2716,0.2383
013,1.5143,0.8807,0.8847,6.3782,0.2317
014,1.4607,0.9409,0.7364,6.5931,0.2324
015,1.4449,1.0864,0.5064,6.5006,0.2457
016,1.2046,0.9394,0.4076,6.3737,0.2437
017,1.0743,0.8563,0.3554,6.4268,0.2335
018,1.4824,1.3147,0.4617,6.7707,0.2597
019,1.2120,1.0346,0.3443,6.4243,0.2275
020,1.8708,1.3161,1.0442,6.9038,0.2460
021,1.2157,0.8762,0.4959,5.8831,0.2279
022,1.7835,1.1398,0.9523,6.2103,0.2236
023,1.7072,1.0251,0.9880,6.2540,0.2335
024,1.9074,1.4459,0.9783,6.3924,0.2583
025,1.1012,0.5562,0.6365,5.6180,0.2516
026,1.0211,0.4355,0.8497,5.5799,0.2160
028,1.1605,1.0665,0.2640,6.6682,0.2311
029,1.0149,0.6012,0.7578,5.5616,0.2707
030,0.9982,0.7641,0.4987,5.9980,0.2260
031,2.3485,1.8626,1.3806,8.3851,0.2908
032,1.2273,1.1553,0.2238,5.8856,0.1848
033,0.9717,0.6464,0.5632,5.5866,0.2066
034,1.1081,0.2923,1.0184,5.2301,0.2247
035,1.7439,1.4747,0.5840,6.5462,0.2057
037,1.8279,1.0452,1.1202,6.0016,0.2330
038,1.2168,0.7531,0.6600,5.9341,0.2327
039,0.9075,0.5965,0.4234,5.9878,0.2342
040,1.2026,0.9601,0.3799,6.7817,0.2183
041,1.3997,1.2915,0.3691,8.5625,0.3069
042,1.7039,1.5247,0.5273,25.1200,1.0326
043,1.1089,0.6563,0.6032,5.9513,0.2050
Averages,1.3452,0.9341,0.6575,6.7477,0.2555
