Collection #,RMS (pix),X err (pix),Y err (pix)
000,1.7496,1.1344,0.7864
008,2.9874,1.9667,1.4570
010,3.3818,1.5929,2.0893
012,4.8248,2.8947,1.8758
019,7.3754,3.7714,5.5700
021,8.3172,5.9802,3.8981
039,8.9637,7.0276,3.1335
041,4.9777,3.1639,2.4007
Averages,5.3222,3.4415,2.6514
