Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,42.4805,38.2275,17.7101,129.0287,1.8683
001,47.9068,43.5959,18.3722,127.0659,1.8659
002,35.0488,33.4847,8.3463,116.9999,1.8393
003,36.6319,35.3222,8.2315,114.9739,1.8754
004,44.5829,41.3072,14.3349,123.4836,1.8462
Averages,41.3302,38.3875,13.3990,122.3104,1.8590
