Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,85.9113,73.7125,40.8944,388.6935,11.5891
001,69.5297,51.8247,40.1436,381.4549,11.6405
002,100.8333,97.6247,18.2394,478.0879,11.6090
003,88.9512,86.1588,17.7930,482.4392,11.6485
004,69.2118,57.6820,25.4530,406.1302,11.5805
Averages,82.8875,73.4005,28.5047,427.3611,11.6135
