Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,1.5914,1.5114,0.2793,6.1354,0.1167
001,1.1082,0.8930,0.3291,5.9047,0.1613
002,0.9046,0.5661,0.4678,5.8512,0.1646
003,1.2226,0.7111,0.7470,5.4433,0.1504
005,1.2167,0.7792,0.6754,5.3244,0.1669
006,0.8127,0.5699,0.3790,5.2251,0.1779
007,0.6839,0.4045,0.3555,5.0141,0.1884
008,0.6740,0.3974,0.3530,5.1143,0.1966
009,0.7521,0.5366,0.3905,4.9444,0.1767
010,1.0152,0.9021,0.3024,5.5863,0.2062
011,1.0060,0.8642,0.2542,5.5491,0.1891
012,1.0912,0.8306,0.3230,5.6307,0.1741
013,1.2042,0.6642,0.7431,5.7560,0.1572
014,1.2304,0.8610,0.5778,5.9858,0.1553
015,1.3125,1.0945,0.3252,5.8930,0.1860
016,1.2057,1.0752,0.2466,5.7819,0.1766
017,1.1546,1.0593,0.2293,5.8776,0.1659
018,1.6086,1.5579,0.1784,6.2798,0.2073
019,1.3041,1.2255,0.1912,5.8994,0.1576
020,1.6230,1.2938,0.7777,6.2699,0.1726
021,1.0363,0.7909,0.3327,5.2271,0.1522
022,1.4550,0.9191,0.8183,5.5832,0.1489
023,1.4069,0.8371,0.8574,5.6254,0.1548
024,1.6898,1.4485,0.6745,5.6870,0.1821
025,0.9801,0.6871,0.3818,4.9881,0.1812
026,0.9250,0.7473,0.4838,4.9083,0.1345
028,1.3878,1.3507,0.1702,6.2792,0.1614
029,1.0312,0.9092,0.4489,4.8997,0.2189
030,1.1576,1.0817,0.3319,5.5408,0.1606
031,2.3499,2.2724,0.5193,7.6674,0.2191
032,1.4424,1.4137,0.1662,5.4568,0.0853
033,1.0043,0.9012,0.3529,4.9213,0.1149
034,0.6928,0.3746,0.5345,4.1495,0.1394
035,1.6310,1.5190,0.3792,5.8959,0.1266
037,1.3571,0.8377,0.7560,5.2473,0.1592
038,0.7634,0.5214,0.3609,5.1475,0.1664
039,0.8092,0.6113,0.2521,5.3379,0.1615
040,1.2261,1.1159,0.2380,6.1711,0.1570
041,1.6073,1.5762,0.1566,8.0720,0.2991
042,1.9779,1.8729,0.4100,24.6049,1.0465
043,0.7974,0.5138,0.3489,5.2096,0.1216
Averages,1.2061,0.9780,0.4171,6.0997,0.1887
