Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,1.3447,1.0589,0.0064
003,4.1780,2.3026,0.0062
005,3.1820,2.1571,0.0058
007,1.4309,1.0300,0.0063
008,1.5440,1.2037,0.0063
009,3.2053,2.3870,0.0060
010,2.2385,2.1150,0.0060
012,2.0045,1.7039,0.0058
013,3.3842,2.3565,0.0056
014,2.7221,1.6850,0.0055
015,3.8135,3.2533,0.0057
016,2.1323,1.9625,0.0057
017,3.8175,3.2166,0.0060
019,1.7810,1.2745,0.0054
021,2.2289,1.8550,0.0046
022,2.9728,2.5359,0.0037
023,3.0553,2.3197,0.0036
024,2.9339,2.0791,0.0036
025,1.7802,1.3949,0.0050
026,2.9655,1.6104,0.0056
028,3.2093,2.0551,0.0060
029,3.4230,2.0966,0.0063
030,4.0209,3.2017,0.0062
031,31.3983,42.0712,0.0078
032,6.6373,5.8308,0.0061
033,2.1456,1.3863,0.0056
034,1.8941,2.0879,0.0053
035,2.2602,2.2137,0.0046
037,3.5626,2.1715,0.0059
038,1.6831,1.3424,0.0062
039,4.4465,4.5176,0.0061
040,2.2221,1.9992,0.0061
041,3.1299,2.1022,0.0066
Averages,3.7196,3.4114,0.0057
