Collection #,RMS (pix),X err (pix),Y err (pix)
001,3.3985,1.9775,1.7738
002,16.3767,11.3695,8.0649
006,2.2265,1.2061,0.8384
011,2.6510,1.3963,1.4762
018,7.5287,5.9314,3.8593
020,8.0656,6.6223,3.3213
042,8.3983,5.9644,4.7842
043,2.9003,2.5132,0.8334
Averages,6.4432,4.6226,3.1189
