Collection #,RMS (pix),X err (pix),Y err (pix)
001,5.3721,1.6320,2.6215
002,3.9589,2.0347,2.4073
006,3.1537,1.1782,0.7721
011,4.2021,2.2318,2.7518
018,9.1100,7.5741,3.0875
020,7.1479,4.7605,2.6510
042,7.8187,5.8800,3.7194
043,1.9843,1.2679,1.1157
Averages,5.3435,3.3199,2.3908
