Collection #,RMS (pix),X err (pix),Y err (pix)
007,4.1248,2.5023,1.4604
015,6.5170,4.9965,2.7525
017,4.7259,2.4321,2.1617
022,12.3622,6.2110,4.6324
023,11.6826,7.4445,4.5748
029,6.5066,4.0390,4.1661
030,7.3275,5.9625,3.6841
034,2.4308,1.7671,0.7390
035,6.2873,3.3085,3.3208
Averages,6.8850,4.2959,3.0546
