Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,3.0786,1.5845,0.0064
001,2.1105,1.2126,0.0062
002,5.8300,5.6720,0.0062
003,5.1860,2.5337,0.0062
005,4.9791,2.6652,0.0058
006,6.4819,4.9354,0.0060
008,2.1004,1.2075,0.0063
009,3.3258,2.6640,0.0059
010,1.2814,1.2280,0.0060
011,2.1181,1.4051,0.0058
012,3.5456,2.6995,0.0058
013,4.4627,2.4138,0.0056
014,3.7051,1.7352,0.0055
016,7.5420,8.0733,0.0060
018,7.0451,7.1486,0.0062
019,2.6621,2.0512,0.0054
020,18.8975,13.4250,0.0054
021,3.0296,2.2847,0.0046
024,4.8817,3.1774,0.0036
025,2.5966,2.0321,0.0050
026,5.0705,3.0501,0.0055
028,3.9878,2.7399,0.0060
031,36.7895,47.7556,0.0073
032,8.4846,7.5588,0.0060
033,6.8344,6.2207,0.0060
037,4.6271,2.2417,0.0059
038,2.8847,1.7756,0.0062
039,6.6181,6.7640,0.0061
040,2.3134,2.4609,0.0061
041,4.6840,3.6753,0.0066
042,7.8469,6.1234,0.0065
043,3.5239,2.6419,0.0061
Averages,5.8914,5.0986,0.0059
