Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,2.2767,1.9976,0.7150,10.7213,0.2936
001,1.5950,0.9929,0.7974,10.1070,0.3255
002,1.5998,0.8761,0.9349,10.2157,0.3264
003,2.5691,1.5787,1.4163,9.9456,0.3119
005,2.5979,1.5782,1.4191,9.6219,0.3346
006,1.4970,0.8360,0.9274,9.1170,0.3383
007,1.0157,0.5404,0.6343,8.4709,0.3444
008,1.0205,0.5591,0.6207,8.5597,0.3549
009,0.8178,0.4108,0.5082,7.9823,0.3378
010,1.1157,0.8326,0.4881,8.7938,0.3629
011,1.1580,0.8457,0.4780,9.1198,0.3399
012,1.6113,1.0347,0.8120,9.7152,0.3415
013,2.0334,1.2168,1.1197,10.5167,0.3269
014,2.0487,1.3920,0.9528,10.7539,0.3216
015,1.9522,1.3515,0.8950,10.1882,0.3464
016,1.5415,1.1886,0.5739,9.6485,0.3389
017,1.3206,1.0877,0.4487,9.4020,0.3305
018,2.0620,1.9135,0.4435,10.1128,0.3699
019,1.5850,1.3698,0.4549,9.5804,0.3308
020,2.7255,2.3286,0.8958,11.2848,0.3291
021,1.5529,0.9980,0.8362,9.1127,0.3264
022,2.3753,1.6237,1.1505,10.1660,0.3299
023,2.2732,1.5905,1.0268,10.1900,0.3168
024,2.7992,2.4046,0.9824,10.1071,0.3488
025,0.9510,0.6170,0.4573,8.0300,0.3614
026,1.2257,0.6740,0.9508,7.4796,0.3225
028,1.6591,1.5541,0.3609,9.6616,0.3380
029,1.3127,0.8174,0.9824,7.4696,0.3545
030,1.4551,1.1256,0.8106,8.4669,0.2689
031,3.4949,3.3590,0.8149,12.8996,0.3562
032,1.6721,1.5697,0.3789,8.7389,0.2705
033,1.1186,0.8067,0.6031,8.0071,0.2943
034,0.6739,0.2708,0.4931,6.9033,0.3080
035,2.4281,2.0077,1.0107,10.3289,0.3011
037,3.1303,2.0198,1.5420,9.6052,0.3243
038,1.3853,0.7753,0.8668,8.8938,0.3335
039,1.1089,0.7435,0.5391,9.1024,0.3324
040,1.5728,1.2424,0.5721,10.1367,0.3138
041,1.9516,1.8661,0.3262,11.7011,0.3997
042,2.3665,2.1931,0.6453,28.1055,1.1111
043,1.1889,0.6346,0.7253,9.1448,0.2940
Averages,1.7522,1.2884,0.7710,9.9539,0.3491
