Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,73.0066,39.7050,60.5190,214.1044,4.6148
001,69.5746,30.2556,61.3039,209.2842,4.6596
002,74.2949,55.2295,47.8678,233.3886,4.6254
003,70.6270,51.2768,47.0758,232.3466,4.6855
004,69.2821,35.7385,57.0257,212.4538,4.6008
Averages,71.3570,42.4411,54.7584,220.3155,4.6372
