Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,1.5440,1.8713,0.0064
001,1.0109,0.8466,0.0062
002,6.2765,6.8291,0.0062
003,2.1540,1.1303,0.0061
006,4.0522,3.2362,0.0060
007,1.2949,1.6865,0.0063
008,2.9774,2.4809,0.0063
009,3.3063,2.0871,0.0059
010,4.8969,4.7207,0.0061
011,0.8629,0.9951,0.0058
012,2.2610,1.9966,0.0058
015,3.7759,4.1603,0.0057
016,1.1728,0.6434,0.0056
017,1.8584,1.4956,0.0059
018,2.6587,2.1019,0.0058
019,2.5757,2.2723,0.0055
020,1.9884,2.0637,0.0046
021,0.9362,0.7490,0.0046
022,2.1169,1.0152,0.0037
023,1.8472,0.8557,0.0036
025,0.8870,0.9454,0.0050
028,0.4336,0.7385,0.0060
029,1.3236,1.2311,0.0062
030,1.4562,0.8702,0.0060
032,2.2250,2.2493,0.0059
034,4.2274,2.7980,0.0054
035,4.9585,5.9763,0.0047
037,2.4925,1.3097,0.0058
038,1.0283,0.6413,0.0061
039,5.0470,4.8314,0.0060
041,0.9483,1.3010,0.0066
042,0.4872,0.6832,0.0064
043,1.8481,1.2111,0.0061
Averages,2.3312,2.0613,0.0057
