Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,1.0760,0.8414,0.4174,5.7448,0.1676
001,0.9632,0.6482,0.4254,5.8213,0.1811
002,1.0953,0.7199,0.5770,5.8197,0.1837
003,1.5022,0.8880,0.8691,5.4223,0.1814
005,1.4652,0.9389,0.7840,5.3837,0.1866
006,1.0214,0.7080,0.4731,5.3827,0.1908
007,0.9256,0.4892,0.5697,5.3202,0.1981
008,0.9240,0.4801,0.5732,5.4271,0.1999
009,0.8647,0.3522,0.6954,5.2815,0.1907
010,0.7393,0.3413,0.5304,5.4903,0.2038
011,0.7390,0.4456,0.3976,5.4679,0.1981
012,0.9630,0.6762,0.4263,5.5308,0.1877
013,1.4158,0.7616,0.8711,5.5517,0.1836
014,1.2471,0.7219,0.6998,5.7053,0.1853
015,1.0862,0.7718,0.4332,5.6605,0.1946
016,0.8189,0.5696,0.3415,5.5610,0.1930
017,0.7109,0.4456,0.3465,5.6509,0.1854
018,0.8915,0.7408,0.2974,5.5909,0.2048
019,0.7573,0.5648,0.2695,5.5353,0.1791
020,1.6168,1.0091,1.0536,5.8664,0.1967
021,0.9161,0.6501,0.4068,5.1812,0.1801
022,1.6612,0.9620,1.0203,5.3732,0.1754
023,1.6055,0.8647,1.0512,5.4191,0.1873
024,1.5755,1.0784,0.9503,5.3837,0.2063
025,0.9375,0.3620,0.6338,5.0389,0.1982
026,0.9708,0.2398,0.9033,5.2114,0.1701
028,0.6541,0.4968,0.2603,5.6209,0.1809
029,0.9028,0.1745,0.8581,5.1943,0.2206
030,0.7656,0.2719,0.6327,5.3011,0.2149
031,1.5435,1.1559,0.9668,6.8529,0.2368
032,0.7103,0.5778,0.2498,4.9676,0.1713
033,0.7791,0.2875,0.6349,5.0496,0.1700
034,1.0201,0.2704,0.9294,4.9238,0.1812
035,1.3187,1.0218,0.5125,5.7778,0.1688
037,1.5804,0.9821,0.9090,5.2938,0.1855
038,1.0090,0.6700,0.4840,5.3579,0.1840
039,0.6889,0.4295,0.3670,5.3042,0.1848
040,0.8188,0.5603,0.3350,6.0099,0.1807
041,0.7947,0.6827,0.2431,7.5516,0.2835
042,1.0600,0.8328,0.4612,24.2844,0.9854
043,0.9102,0.5605,0.5005,5.3266,0.1705
Averages,1.0499,0.6401,0.5942,5.9912,0.2104
