Collection #,RMS (pix),X err (pix),Y err (pix)
005,4.2376,2.4518,1.9964
013,4.6111,2.0980,2.4597
014,5.0638,2.6211,2.7127
024,5.6075,3.9507,2.4358
026,2.3502,1.4530,1.3044
031,47.4584,38.5707,22.4822
033,3.5870,2.9068,1.0940
040,4.2305,2.4500,2.9143
Averages,9.6433,7.0628,4.6749
