Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,2.5178,2.3168,0.5364,13.4664,0.0958
001,2.0069,1.4214,0.7189,13.3490,0.1439
002,2.1975,1.3900,1.1260,13.3156,0.1472
003,3.2935,1.8204,2.1202,12.8755,0.1310
005,3.2083,1.9311,1.9324,12.7879,0.1496
006,1.9037,1.2546,1.0461,12.6988,0.1611
007,1.3090,0.7978,0.7627,12.4666,0.1717
008,1.3060,0.7980,0.7571,12.5667,0.1811
009,0.9392,0.5038,0.5853,12.2881,0.1598
010,1.0831,0.6650,0.5606,12.7813,0.1914
011,1.3415,0.9285,0.5586,12.8662,0.1724
012,2.0180,1.4576,0.7320,13.0432,0.1577
013,3.2957,1.9074,1.9887,13.1954,0.1391
014,2.8876,2.1310,1.3137,13.3993,0.1364
015,2.4105,1.8970,0.7372,13.2721,0.1699
016,1.7738,1.3820,0.5479,13.0894,0.1594
017,1.4061,1.0393,0.5271,13.1093,0.1484
018,2.1062,1.9483,0.4151,13.2740,0.1929
019,1.7116,1.4350,0.4875,13.0883,0.1405
020,3.7878,3.2298,1.5710,13.6030,0.1539
021,1.9667,1.4146,0.8183,12.6221,0.1343
022,3.8912,2.8776,2.0258,12.9990,0.1318
023,3.8016,2.7134,2.1391,13.0398,0.1351
024,3.6439,3.2716,1.2764,12.9028,0.1658
025,1.1166,0.6130,0.6319,12.1778,0.1673
026,0.7960,0.2694,0.6423,11.8860,0.1167
028,1.4962,1.3225,0.4476,13.2096,0.1450
029,0.8169,0.2859,0.6956,11.8225,0.2023
030,0.9782,0.6329,0.5837,12.5017,0.1440
031,3.3346,3.2947,0.3451,14.7977,0.2012
032,1.5800,1.4078,0.4955,12.4263,0.0637
033,0.9596,0.4953,0.6000,12.1801,0.0925
034,0.9649,0.4310,0.6782,11.5485,0.1187
035,2.9517,2.6828,0.7723,13.3391,0.1068
037,3.5444,2.1224,2.1741,12.7000,0.1407
038,1.7258,1.1379,0.9453,12.6187,0.1494
039,1.3282,0.9184,0.5607,12.7301,0.1440
040,1.7816,1.3918,0.5281,13.5455,0.1399
041,1.8508,1.7135,0.4247,15.1892,0.2896
042,2.0078,1.8397,0.6356,31.8624,1.0369
043,1.5489,1.0102,0.7334,12.6789,0.1006
Averages,2.0632,1.5147,0.9068,13.3979,0.1715
