Collection #,RMS (pix),X err (pix),Y err (pix)
007,3.7236,2.3815,1.5345
015,5.3003,4.2626,2.0848
017,4.3968,2.7710,2.3972
022,12.2072,5.9938,4.1056
023,11.2662,7.0899,4.2919
029,4.7774,3.2576,2.8238
030,5.8822,4.7956,2.8700
034,1.7225,0.5036,0.5539
035,5.3362,2.5179,1.6024
Averages,6.0680,3.7304,2.4738
