Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,1.9827,0.8718,0.0064
001,1.7944,0.9419,0.0062
002,6.7218,5.2555,0.0062
003,5.4141,2.1250,0.0062
005,4.5324,2.4723,0.0058
006,3.0833,1.2761,0.0060
008,2.1685,0.8653,0.0063
009,2.6372,2.6190,0.0060
010,1.9768,1.6731,0.0060
011,1.9209,1.4170,0.0058
012,5.3991,4.9351,0.0060
013,4.6007,2.5149,0.0056
014,3.5539,1.9001,0.0055
016,3.0496,2.6772,0.0057
018,5.3152,4.4618,0.0059
019,1.9804,1.2189,0.0054
020,5.8560,2.5551,0.0047
021,2.8682,1.7894,0.0046
024,3.8141,2.4087,0.0036
025,1.9309,1.4679,0.0050
026,2.4851,2.1190,0.0056
028,2.5858,1.5761,0.0060
031,31.9977,43.5968,0.0077
032,6.5916,5.9776,0.0060
033,1.9843,1.5993,0.0056
037,5.0203,1.9052,0.0059
038,2.7690,1.4944,0.0062
039,4.1488,4.0713,0.0061
040,3.1076,2.8599,0.0061
041,3.2213,2.1948,0.0066
042,5.9057,4.3502,0.0065
043,2.1925,1.7937,0.0062
Averages,4.4566,3.7183,0.0059
