Collection #,RMS (pix),X err (pix),Y err (pix)
007,4.7140,2.4739,2.3072
015,3.3100,1.1668,1.6783
017,4.3956,2.4900,1.7321
022,14.4812,6.4087,5.3349
023,14.1519,8.4132,7.6116
029,5.5595,3.3924,3.2949
030,6.4753,5.1375,3.2957
034,3.3491,2.5592,0.9238
035,3.8476,3.1583,1.1273
Averages,6.6982,3.9111,3.0340
