Collection #,RMS (pix),X err (pix),Y err (pix)
003,9.7726,4.2383,3.1864
009,2.6928,2.0620,1.5326
016,3.1630,1.7579,1.1160
025,4.2604,2.9449,2.0554
028,6.0276,4.1384,3.5999
032,7.7475,6.5525,2.5206
037,1.9287,1.4228,0.6968
038,4.8423,3.2435,2.2647
Averages,5.0544,3.2950,2.1216
