Collection #,RMS (pix),X err (pix),Y err (pix)
003,8.0238,4.2138,6.4521
009,4.9883,4.1443,1.2973
016,7.3253,5.9890,3.2909
025,4.9643,3.3948,2.3815
028,6.7602,4.2882,4.0154
032,9.2015,7.1278,4.5257
038,4.6946,3.0853,2.1723
Averages,6.5654,4.6062,3.4479
