Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,1.3461,1.3658,0.0064
001,1.0891,1.1494,0.0062
002,6.3700,5.2421,0.0062
005,2.7135,2.0116,0.0058
006,2.2053,1.6747,0.0060
007,1.3479,1.1407,0.0063
008,1.3518,1.1511,0.0063
010,3.3159,2.7079,0.0060
011,1.3457,1.3409,0.0058
012,2.4736,2.2437,0.0059
013,3.4683,2.7391,0.0056
014,2.6764,1.9876,0.0055
015,2.8630,2.5441,0.0057
017,1.2146,1.1838,0.0060
018,7.1471,6.8374,0.0062
019,1.4554,1.4562,0.0054
020,4.0883,2.6083,0.0047
021,2.1153,1.8785,0.0046
022,2.8586,2.6062,0.0037
023,3.0661,2.7565,0.0036
024,3.0557,2.8680,0.0036
026,3.4308,1.9571,0.0055
029,3.0109,2.4400,0.0063
030,4.4289,3.8519,0.0062
031,30.9543,40.5314,0.0079
033,2.2963,1.8118,0.0056
034,3.4747,2.5757,0.0055
035,2.6657,3.0276,0.0046
039,6.3565,5.9096,0.0062
040,2.9669,3.1375,0.0061
041,3.4527,3.0020,0.0066
042,5.6480,4.5617,0.0066
043,2.4861,2.4967,0.0061
Averages,3.9012,3.7817,0.0057
