Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,1.2233,1.0975,0.4017,4.2862,0.1224
001,0.8021,0.6195,0.2780,4.0312,0.1607
002,0.6366,0.3848,0.3636,3.9832,0.1641
003,0.9518,0.6160,0.4949,3.6046,0.1523
005,0.9112,0.5937,0.4710,3.4735,0.1663
006,0.5942,0.4203,0.2745,3.3720,0.1762
007,0.5195,0.3276,0.2724,3.1838,0.1863
008,0.5103,0.3230,0.2751,3.2838,0.1933
009,0.6401,0.4842,0.2935,3.1593,0.1752
010,0.8528,0.7759,0.2182,3.8010,0.2019
011,0.7956,0.6893,0.2075,3.7254,0.1870
012,0.7927,0.5704,0.2916,3.7738,0.1723
013,0.8852,0.4485,0.5836,3.8898,0.1579
014,0.8572,0.4495,0.5245,4.1198,0.1569
015,0.9583,0.7321,0.3369,4.0379,0.1836
016,0.9336,0.8114,0.2450,3.9544,0.1756
017,0.9347,0.8627,0.1773,4.0615,0.1654
018,1.3024,1.2286,0.2857,4.5218,0.2028
019,1.0414,0.9655,0.2082,4.0924,0.1571
020,1.1365,0.6502,0.8211,4.4450,0.1734
021,0.7517,0.5447,0.2879,3.3914,0.1530
022,1.0145,0.4490,0.7524,3.7323,0.1490
023,0.9916,0.4115,0.7530,3.7758,0.1571
024,1.2058,0.8191,0.7734,3.9919,0.1827
025,0.8529,0.5971,0.2914,3.2569,0.1798
026,0.8540,0.7042,0.4246,3.2815,0.1362
028,1.1586,1.1258,0.1470,4.5134,0.1604
029,0.9421,0.8460,0.3739,3.3022,0.2161
030,1.0212,0.9637,0.2554,3.8376,0.1694
031,1.9117,1.7224,0.7893,5.8059,0.2195
032,1.2093,1.1861,0.1242,3.7531,0.1005
033,0.8695,0.7986,0.2534,3.1500,0.1216
034,0.6199,0.3885,0.4405,2.4089,0.1435
035,1.2106,1.0404,0.4622,4.0353,0.1303
037,1.0647,0.6682,0.5300,3.4041,0.1601
038,0.5656,0.3980,0.2631,3.2969,0.1654
039,0.5818,0.4248,0.2159,3.4950,0.1615
040,0.9510,0.8508,0.2337,4.3097,0.1574
041,1.3414,1.3013,0.2160,6.2138,0.2939
042,1.7420,1.6192,0.4184,22.6879,1.0344
043,0.5744,0.3728,0.2693,3.3526,0.1270
Averages,0.9442,0.7386,0.3732,4.2877,0.1890
