Collection #,RMS (pix),X err (pix),Y err (pix)
003,7.4965,4.0619,4.1673
009,6.1572,4.2449,3.7156
016,10.5856,8.8140,3.4100
025,5.1755,3.5155,2.0976
028,6.9884,4.9817,3.6572
032,11.8738,9.9381,3.9860
038,6.2334,3.5061,2.6123
Averages,7.7872,5.5803,3.3780
