Collection #,RMS (pix),X err (pix),Y err (pix)
003,6.4716,4.1954,3.4274
009,3.4382,2.6276,1.7972
016,3.5321,2.7890,1.7233
025,3.7391,2.5064,1.7637
028,6.0775,4.0244,3.5132
032,9.5629,7.5847,4.4672
037,5.6147,4.4755,1.6730
038,5.7817,3.1537,1.7765
Averages,5.5272,3.9196,2.5177
