Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,2.2792,1.2497,0.0064
001,2.2421,2.0015,0.0062
002,11.8393,10.8818,0.0063
003,5.2019,3.3754,0.0061
005,3.8009,2.7217,0.0058
006,3.7628,2.9049,0.0060
008,1.9871,1.5902,0.0063
009,7.1595,5.4002,0.0061
010,2.5221,2.5512,0.0060
011,2.6136,2.3831,0.0058
012,6.9043,7.0152,0.0059
013,3.5135,2.2094,0.0056
014,2.8172,1.4704,0.0055
016,5.8404,5.4393,0.0058
018,6.5447,5.8324,0.0058
019,2.0099,1.5300,0.0054
020,5.7301,3.9071,0.0046
021,2.9568,2.5466,0.0046
024,3.7775,2.8264,0.0035
025,2.2814,1.8935,0.0050
026,4.1998,2.8295,0.0055
028,5.2224,4.2507,0.0060
031,42.1627,56.8467,0.0073
032,7.8944,7.1952,0.0061
033,2.4920,1.7533,0.0056
037,4.7138,2.8031,0.0059
038,2.6968,2.1197,0.0062
039,8.6700,8.3367,0.0061
040,2.6610,3.2893,0.0061
041,3.9621,2.8237,0.0066
042,7.4934,5.7994,0.0064
043,3.4451,3.4910,0.0062
Averages,5.6687,5.3521,0.0058
