Collection #,RMS (pix),X err (pix),Y err (pix)
007,3.3450,2.2990,1.4818
015,4.1643,3.3080,2.0441
017,4.9684,3.1584,3.3110
022,11.4287,4.8864,3.8822
023,10.0321,5.8731,3.4702
029,5.0417,3.3204,3.4463
030,5.7738,3.9392,3.9626
034,1.4433,0.9378,0.2796
035,4.9554,2.9103,1.7533
Averages,5.6836,3.4036,2.6257
