Collection #,RMS (pix),X err (pix),Y err (pix)
007,4.2076,2.1905,2.2308
015,3.8961,1.4809,2.2758
017,5.0930,2.5792,3.3076
022,13.8790,6.2777,5.0858
023,12.2911,6.4591,5.8354
029,5.2519,3.5328,3.2175
030,6.2300,5.3246,2.3983
034,3.0903,2.0267,1.7751
035,3.2808,2.4068,1.0340
Averages,6.3578,3.5865,3.0178
