Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,1.7635,1.6516,0.3904,7.1769,0.1319
001,1.1621,0.9230,0.3428,6.8430,0.1677
002,0.9859,0.5919,0.5227,6.7171,0.1695
003,1.5840,0.8156,1.0677,6.2164,0.1521
005,1.5353,0.8863,0.9723,6.1208,0.1624
006,0.8730,0.5423,0.4916,6.0651,0.1781
007,0.5860,0.3417,0.3323,5.8364,0.1857
008,0.5796,0.3466,0.3286,5.9347,0.1966
009,0.6211,0.4593,0.2786,5.7652,0.1755
010,0.9926,0.8460,0.3663,6.5056,0.2091
011,1.0176,0.8386,0.3308,6.4903,0.1914
012,1.1559,0.8823,0.3528,6.5746,0.1729
013,1.4834,0.7977,0.9864,6.6718,0.1513
014,1.3943,1.0612,0.5829,6.9605,0.1471
015,1.4198,1.1821,0.3637,6.8730,0.1854
016,1.2817,1.1053,0.3489,6.7570,0.1702
017,1.1987,1.0437,0.3886,6.8506,0.1653
018,1.7680,1.6304,0.5286,7.3097,0.2060
019,1.3960,1.2487,0.4083,6.9009,0.1583
020,1.8549,1.6528,0.6197,7.2610,0.1594
021,1.1062,0.8408,0.3957,6.1514,0.1476
022,1.7194,1.1808,0.9419,6.5314,0.1477
023,1.6877,1.1165,0.9870,6.5700,0.1447
024,1.9012,1.7710,0.4866,6.5726,0.1592
025,0.8951,0.6266,0.3563,5.8299,0.1672
026,0.7855,0.6741,0.3208,5.6369,0.1336
028,1.4789,1.3564,0.4995,7.2892,0.1593
029,0.8986,0.7993,0.3720,5.6009,0.2163
030,1.1237,1.0209,0.4108,6.4078,0.1851
031,2.6680,2.5777,0.6088,8.8901,0.1875
032,1.5222,1.3996,0.5297,6.3971,0.1215
033,0.9407,0.8274,0.3610,5.7845,0.1181
034,0.3959,0.2309,0.2329,4.8328,0.1300
035,1.7812,1.6728,0.4308,6.8037,0.1399
037,1.8286,1.0463,1.1431,6.0239,0.1535
038,0.7857,0.4818,0.4468,5.9832,0.1672
039,0.8548,0.6289,0.3174,6.2993,0.1553
040,1.3074,1.1476,0.3607,7.1512,0.1743
041,1.7356,1.6038,0.5759,9.1020,0.3341
042,2.0793,1.8703,0.7515,25.6394,1.0517
043,0.7636,0.5037,0.3065,6.0691,0.1336
Averages,1.2906,1.0299,0.5083,7.0097,0.1893
