Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,0.6519,1.4284,0.0064
001,1.0569,0.9670,0.0063
002,4.9427,4.9188,0.0062
003,2.0506,0.8104,0.0061
006,3.0744,2.2140,0.0060
007,1.1464,0.8645,0.0063
008,1.0333,0.4468,0.0063
009,2.3379,1.5229,0.0059
010,0.5888,0.6943,0.0059
011,1.0437,0.8849,0.0058
012,1.2008,1.0529,0.0058
015,0.8601,0.8938,0.0056
016,0.7352,0.4777,0.0056
017,1.2203,1.0695,0.0059
018,1.4647,1.0509,0.0058
019,1.8982,1.6668,0.0055
020,3.3481,2.0166,0.0047
021,1.3592,1.0303,0.0046
022,1.1241,0.9705,0.0037
023,1.3647,0.8603,0.0036
025,0.5898,0.3765,0.0050
028,0.8268,0.9745,0.0060
029,0.7408,0.6943,0.0062
030,0.6757,0.4791,0.0060
032,11.7779,11.2032,0.0068
034,3.6180,2.0958,0.0053
035,0.8134,1.0357,0.0046
037,1.9874,0.6360,0.0058
038,1.3797,0.7394,0.0062
039,3.0788,3.2923,0.0060
041,1.2755,1.4274,0.0066
042,1.7559,1.4288,0.0064
043,1.6862,1.0077,0.0061
Averages,1.9002,1.5525,0.0057
