Collection #,RMS (pix),X err (pix),Y err (pix)
005,3.9470,2.5041,1.9961
013,5.2477,1.9915,3.1631
014,5.0325,2.7070,2.5810
024,4.6672,3.3026,1.9815
026,1.9396,1.5584,0.6222
031,46.0917,38.5343,19.9546
033,3.3020,2.0434,2.1410
040,2.4973,1.5475,1.5955
Averages,9.0906,6.7736,4.2544
