Collection #,RMS (pix),X err (pix),Y err (pix)
005,7.1794,3.5299,5.5510
013,8.3178,3.7878,6.0087
014,6.7034,2.8329,4.5083
024,3.7902,2.5349,1.2727
026,3.3402,1.5674,1.7911
031,58.9975,32.8631,36.2708
033,1.8545,1.4987,0.7289
040,2.4370,0.6098,1.9306
Averages,11.5775,6.1531,7.2578
