Collection #,RMS (pix),X err (pix),Y err (pix)
001,5.0829,1.9098,2.8581
002,3.4705,1.5128,2.4323
006,2.7513,1.0409,0.8219
011,4.7828,2.8792,2.8607
018,9.0879,7.3965,3.6885
020,5.9035,3.4134,2.0189
042,7.3055,5.6970,3.8265
043,2.8242,1.8823,1.4060
Averages,5.1511,3.2165,2.4891
