Collection,front_left_camera [px],front_right_camera [px],lidar3d [m]
000,3.1843,1.1857,0.0064
003,7.4387,3.6040,0.0061
005,5.8420,2.8057,0.0058
007,3.5449,3.0913,0.0063
008,3.1506,1.9046,0.0063
009,7.1612,5.6155,0.0061
010,3.4077,2.7879,0.0060
012,5.8587,5.3039,0.0059
013,5.6126,2.5704,0.0056
014,4.5801,1.7649,0.0055
015,3.3662,1.9878,0.0056
016,3.4507,2.8042,0.0056
017,6.1133,5.3532,0.0059
019,3.5163,2.5869,0.0054
021,3.5140,2.4150,0.0046
022,4.8752,2.2844,0.0037
023,5.2831,2.8589,0.0036
024,5.7308,3.2776,0.0035
025,2.8811,2.4043,0.0050
026,4.0165,2.7923,0.0055
028,5.2352,3.4966,0.0060
029,5.8229,4.1891,0.0063
030,10.2505,9.2083,0.0065
031,43.2785,56.9138,0.0069
032,8.1911,7.4630,0.0061
033,9.9199,9.3400,0.0060
034,2.2154,1.5527,0.0053
035,4.4804,3.2325,0.0046
037,6.7779,3.2295,0.0059
038,3.6947,1.9876,0.0062
039,6.8287,7.1363,0.0060
040,3.1335,3.0857,0.0061
041,4.9925,3.3614,0.0066
Averages,6.2833,5.2605,0.0057
