Collection #,RMS (pix),X err (pix),Y err (pix)
001,5.0225,3.2893,2.5129
002,18.0640,14.0233,6.1633
006,3.1080,2.1821,1.4128
011,3.3663,2.0147,1.7612
018,8.4534,7.0043,3.8805
020,11.3436,9.8011,3.9802
042,9.1160,5.9611,5.6903
043,4.0153,2.8372,2.3027
Averages,7.8111,5.8891,3.4630
