Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,3.0746,2.8290,0.6866,16.0854,0.1909
001,2.2697,1.5797,0.8528,15.6940,0.2435
002,2.4048,1.5284,1.3078,15.7536,0.2470
003,3.5834,2.0716,2.2764,15.4538,0.2320
005,3.5156,2.1736,2.0617,15.2261,0.2593
006,2.2346,1.5109,1.1820,14.8884,0.2649
007,1.5757,0.9575,0.9031,14.4238,0.2763
008,1.5755,0.9595,0.8975,14.5177,0.2852
009,0.9944,0.5997,0.5417,14.0275,0.2649
010,1.3052,0.9818,0.4227,14.7426,0.2930
011,1.6033,1.1762,0.5804,14.9662,0.2705
012,2.3100,1.6476,0.8841,15.3474,0.2655
013,3.3543,1.9145,2.0442,15.8164,0.2499
014,3.0779,2.1299,1.4960,16.0295,0.2471
015,2.7612,2.1216,0.8983,15.7048,0.2748
016,2.1406,1.7010,0.6124,15.3716,0.2686
017,1.7514,1.4313,0.4789,15.2595,0.2540
018,2.7577,2.5931,0.4653,15.8492,0.3003
019,2.1559,1.8881,0.4885,15.3724,0.2487
020,4.0941,3.3805,1.7878,16.4153,0.2647
021,2.2407,1.5948,0.9723,14.8352,0.2460
022,3.9402,2.7276,2.0874,15.5406,0.2440
023,3.8275,2.5259,2.1679,15.5766,0.2450
024,4.0460,3.5410,1.5277,15.5679,0.2845
025,1.2601,0.8045,0.5847,14.0223,0.2857
026,0.7490,0.4758,0.3260,13.3670,0.2309
028,2.0684,1.9508,0.3562,15.5718,0.2565
029,0.9003,0.7753,0.2736,13.2845,0.2994
030,1.3099,1.1995,0.2938,14.4152,0.1717
031,4.4291,4.2610,1.0588,18.0250,0.3177
032,2.1364,2.0475,0.3079,14.6156,0.1302
033,1.1078,0.8725,0.4062,13.9978,0.1989
034,0.9538,0.3578,0.6639,13.0891,0.2298
035,3.4050,3.0860,0.9405,15.8135,0.2031
037,3.8646,2.3723,2.2794,15.1891,0.2496
038,2.0908,1.4089,1.0892,14.7293,0.2553
039,1.5991,1.1372,0.6198,14.8990,0.2558
040,2.1471,1.7530,0.5754,15.8333,0.2236
041,2.5425,2.4331,0.3984,17.6458,0.3222
042,2.9098,2.7503,0.6818,34.3649,1.1113
043,1.7390,1.1108,0.8837,14.8847,0.1960
Averages,2.3855,1.8137,0.9601,15.6637,0.2722
